alexatop,malware_domain,phishtank,domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,isBogon,ttlRisk,spamhausreg,SpamhausTld,zonefiles_tld,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,DomainName
false,false,true,0.6,0.6,0.06273942846551576,0.6,true,false,0.5,false,0,0.000012518068529995022,false,0.6153846153846154,www.no.com,www.dofus.mom
false,false,true,0.09731543624161074,0.272452068617558,0.054551509325482334,0,true,true,0.7,false,0.0608695652173913,0.6264995587645711,false,0.6666666666666666,neatmovies.com,beau-mondes.com
false,false,true,0.6,0.6,0.07092464393166276,0.6,true,true,0.7,false,0.034782608695652174,0.02031723271339188,false,0.6,boostyourfit.ru,zoosummit.ru
false,false,true,0.6,0.6,0.04094350785991018,0.6,false,0,0.7,false,0.0608695652173913,0.6264995587645711,false,0.75,successaga.com,succesmantra.com
false,false,true,0.6,0.6,0.1647556499153555,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0,true,bitoex-claimextrabonuses.000webhostapp.com
false,false,true,0.6,0.6,0.1339185594969636,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0.4722222222222222,000webhostapp.com,wildernesssafariss.000webhostapp.com
false,false,true,0.6,0.6,0.13252291055535584,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0.4358974358974359,driveandlisten.herokuapp.com,recordingcardvirement.000webhostapp.com
false,false,true,0.6,0.6,0.1344984752978177,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0,true,secureaccountpay-pal.000webhostapp.com
false,false,true,0.6,0.6,0.3209359633503138,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0,true,kate3712.000webhostapp.com
false,false,true,0.6,0.6,0.16553008364525032,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0,true,extraneous-fleets.000webhostapp.com
false,false,true,0.6,0.6,0.15627684765329353,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0.68,000webhostapp.com,ertyufa.000webhostapp.com
false,false,true,0.6,0.6,0.34737590359981596,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0,true,testq1w2e3r4.000webhostapp.com
false,false,true,0.6,0.6,0.16181328738605452,0.6,true,false,0.7,false,0.0608695652173913,0.6264995587645711,false,0,true,bitoex-bonuses-btc.000webhostapp.com
false,false,true,0.6,0.6,0.08129761722719607,0.6,true,false,0.6,false,0.29068322981366457,0.0018425521104638376,false,0.5172413793103449,noah-blockchain.com,www.login-blockchain-com.live
false,false,true,0.6,0.04944500504540868,0.07449619268146364,0.7853864796140958,true,false,0.6,false,0.011180124223602483,0.0003869191546419555,false,0.46875,noah-blockchain.com,www.login-blockchain-com.digital
false,false,true,0.09731543624161074,0.272452068617558,0.08021016799810131,0,true,true,0.7,false,0.0608695652173913,0.6264995587645711,false,0.6363636363636364,icertificationhelp.com,notificationkzebi.com
false,false,true,0.6,0.6,0.07092464393166276,0.6,true,true,0.7,false,0.034782608695652174,0.02031723271339188,false,0.6,boostyourfit.ru,zoosummit.ru
false,false,true,0.412751677852349,0.06559031281533804,0.07459394640232742,0.7296447171241651,true,false,0.5,false,0.0608695652173913,0.6264995587645711,false,0.5555555555555556,www.googleapis.com,www.chikh-ali.com
false,false,true,0.412751677852349,0.06559031281533804,0.07459394640232742,0.7296447171241651,true,false,0.5,false,0.0608695652173913,0.6264995587645711,false,0.5555555555555556,www.googleapis.com,www.chikh-ali.com
false,false,true,0.412751677852349,0.06559031281533804,0.06243039394751544,0.7296447171241651,true,false,0.5,false,0.0608695652173913,0.6264995587645711,false,0.6923076923076923,chikhen.com,chikh-ali.com
false,false,true,0.6,0.6,0.057325157854863,0.6,false,0,0.7,false,0.0608695652173913,0.6264995587645711,false,0.7647058823529411,rentpayment.com,refundpaiment.com
false,false,true,0.6,0.6,0.05598445609783212,0.6,true,true,0.7,false,0.6,2.4449352597646527e-9,false,0.4230769230769231,schubert-verlag.de,kadubeureum-serang.desa.id
false,false,true,0.3098434004474273,0.06659939455095863,0.05480864502629342,0.6,false,0,0.7,false,0.0608695652173913,0.6264995587645711,false,0.75,duniasex.com,duniafan.com
false,false,true,0.6,0.04944500504540868,0.0651745796440634,0.7853864796140958,true,false,0.6,false,0.0608695652173913,0.6264995587645711,false,0.6111111111111112,revolvermaps.com,recover-paypal.com
false,false,true,0.6,0.6,0.6181350008558502,0.6,false,0,0.7,false,0.018633540372670804,0.04237990470872975,false,0.7333333333333333,waecdirect.org,ad69e733ebae8d264bccaa38d68830e8.webredirect.org
false,false,true,0.6,0.6,0.13698213442638513,0.6,false,0,0.7,false,0.018633540372670804,0.04237990470872975,false,0.7,mitre.org,paleokastritsa-k7.mywire.org
false,false,true,0.09731543624161074,0.272452068617558,0.0691919910679013,0,true,true,0.7,false,0.02857142857142857,0.0022677711759500063,false,0.5,ezpzsolutions.in,arks.ganeshasolutionz.in
false,false,true,0.1610738255033557,0.03128153380423814,0.07245837793646161,0.12260173157158794,true,true,0.7,false,0.0608695652173913,0.6264995587645711,false,0.6842105263157895,collierschools.com,zionhighschools.com
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.04944500504540868,0.060946536391076805,0.7853864796140958,false,0,0.7,false,0.09316770186335403,0.016006424735677337,false,1,vitalsource.com,vitalsource.info
false,false,true,0.6,0.6,0.0676801310965012,0.6,true,true,0.7,false,0.023602484472049687,0.003129749401348433,false,0.7142857142857143,jamr.jp,hamt.jp
false,false,true,0.6,0.6,0.0676801310965012,0.6,true,true,0.7,false,0.023602484472049687,0.003129749401348433,false,0.7142857142857143,jamr.jp,hamt.jp
false,false,true,0.6,0.6,0.0676801310965012,0.6,true,true,0.7,false,0.023602484472049687,0.003129749401348433,false,0.7142857142857143,jamr.jp,hamt.jp
false,false,true,0.09731543624161074,0.272452068617558,0.049806378903814806,0,true,true,0.6,false,0.0608695652173913,0.6264995587645711,false,0.6470588235294118,shoprunner.com,shopbundlebee.com
false,false,true,0.412751677852349,0.06559031281533804,0.07459394640232742,0.7296447171241651,true,false,0.1,false,0.0608695652173913,0.6264995587645711,false,0.5555555555555556,www.googleapis.com,www.chikh-ali.com
false,false,true,0.412751677852349,0.06559031281533804,0.07459394640232742,0.7296447171241651,true,false,0.5,false,0.0608695652173913,0.6264995587645711,false,0.5555555555555556,www.googleapis.com,www.chikh-ali.com
false,false,true,0.6,0.6,0.2509467819490323,0.6,false,0,0.7,false,0.0608695652173913,0.6264995587645711,false,0.6428571428571429,epinity.com,verinit166.com
false,false,true,0.6,0.6,0.2509467819490323,0.6,false,0,0.7,false,0.0608695652173913,0.6264995587645711,false,0.6428571428571429,epinity.com,verinit166.com
