domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,ttlRisk,spamhausreg,SpamhausTld,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,Label 
0.6,0.6,0.031795987,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.047259793,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.031454785,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.055417374,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.043734657,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.216290629,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.039269804,0.6,TRUE,0.6,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.036424344,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.029736026,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.440298835,0.6,TRUE,0.5,FALSE,0.288198758,FALSE,0,TRUE,alexatop
0.6,0.6,0.072941473,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.044476156,0.6,TRUE,0.6,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.069677608,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.054953283,0.6,TRUE,0.6,FALSE,0.01863354,FALSE,0,TRUE,alexatop
0.6,0.6,0.03813129,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.039936824,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.033249948,0.6,TRUE,0.3,FALSE,0.6,FALSE,0,TRUE,alexatop
0.6,0.6,0.1114572,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.047016831,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.050256073,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.039611826,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.097315436,0.272452069,0.079456979,0,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.076690212,0.061142026,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.10023939,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.062577863,0.6,TRUE,0.7,FALSE,0.003726708,FALSE,0,TRUE,alexatop
0.6,0.6,0.045272753,0.6,TRUE,0.6,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.065216506,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.046288568,0.6,TRUE,0.5,FALSE,0.6,FALSE,0,TRUE,alexatop
0.6,0.6,0.034428243,0.6,TRUE,0.6,FALSE,0.058385093,FALSE,0,TRUE,alexatop
0.097315436,0.272452069,0.07607439,0,TRUE,0.3,FALSE,0.053416149,FALSE,0,TRUE,alexatop
0.6,0.6,0.039044843,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.038646892,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.067054517,0.6,TRUE,0.5,FALSE,0.6,FALSE,0,TRUE,alexatop
0.6,0.6,0.046408897,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.049445005,0.039144371,0.78538648,TRUE,0.6,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.090004476,0.6,TRUE,0.6,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.045074427,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.039722232,0.6,TRUE,0.5,FALSE,0.288198758,FALSE,0,TRUE,alexatop
0.6,0.6,0.070928495,0.6,TRUE,0.3,FALSE,0.028571429,FALSE,0,TRUE,alexatop
0.161073826,0.031281534,0.047828802,0.122601732,TRUE,0.6,FALSE,0.003726708,FALSE,0,TRUE,alexatop
0.412751678,0.065590313,0.075839992,0.729644717,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.050884807,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.044680995,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.094900764,0.6,TRUE,0.3,FALSE,0.6,FALSE,0,TRUE,alexatop
0.387024609,0.529767911,0.22132221,0.6,TRUE,0.6,FALSE,0.003726708,FALSE,0,TRUE,alexatop
0.6,0.6,0.050336924,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.27346115,0.047031982,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.030560617,0.6,TRUE,0.5,FALSE,0.6,FALSE,0,TRUE,alexatop
0.6,0.27346115,0.07309256,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
