alexatop,malware_domain,phishtank,domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,isBogon,ttlRisk,spamhausreg,SpamhausTld,zonefiles_tld,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,DomainName
FALSE,TRUE,FALSE,0.6,0.6,0.085721917,0.6,FALSE,0,0.7,FALSE,0.313043478,0.000633132,FALSE,0.529411765,security.org,amazon.co.uk.security-check.ga
FALSE,TRUE,FALSE,0.6,0.6,0.044780858,0.6,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.652173913,autorifasbrasil.com,autosegurancabrasil.com
FALSE,TRUE,FALSE,0.6,0.6,0.251968522,0.6,FALSE,0,0.7,FALSE,0.033540373,0.001306724,FALSE,0.636363636,hd9.mobi,dadossolicitado-antendimento.sad879.mobi
FALSE,TRUE,FALSE,0.6,0.6,0.052070117,0.6,FALSE,0,0.7,FALSE,0.6,2.44E-09,FALSE,0.666666667,citibank.com.my,hitnrun.com.my
FALSE,TRUE,FALSE,0.6,0.6,0.06672094,0.6,FALSE,0,0.7,FALSE,0.01863354,0.042385402,FALSE,0.4,automationanywhere.com,maruthorvattomsrianjaneyatemple.org
FALSE,TRUE,FALSE,0.6,0.6,0.391923075,0.6,FALSE,0,0.7,FALSE,0.6,2.44E-09,FALSE,0.727272727,rita.go.tz,paypalsecure-2016.sucurecode524154241.arita.ac.tz
FALSE,TRUE,FALSE,0.161073826,0.031281534,0.054713546,0.122601732,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.565217391,worldbranddesign.com,tei.portal.crockerandwestridge.com
FALSE,TRUE,FALSE,0.6,0.6,0.044214347,0.6,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.727272727,ooyyo.com,tonyyeo.com
FALSE,TRUE,FALSE,0.6,0.6,0.059933027,0.6,FALSE,0,0.7,FALSE,0.058385093,0.054196081,FALSE,0.65,freeimagehosting.net,update-apple.com.betawihosting.net
FALSE,TRUE,FALSE,0.6,0.6,0.076506832,0.6,FALSE,0,0.7,FALSE,0.6,2.44E-09,FALSE,0.65,caradvice.com.au,usaa.com-sec-inet-auth-logon-ent-logon-logon-redirectjsp.chrischadwick.com.au
FALSE,TRUE,FALSE,0.6,0.6,0.089282205,0.6,TRUE,FALSE,0.5,FALSE,0.6,2.44E-09,FALSE,0.518518519,nevillejohnson.co.uk,windrushvalleyjoinery.co.uk
FALSE,TRUE,FALSE,0.6,0.6,0.061677446,0.6,TRUE,FALSE,0.5,FALSE,0.6,2.44E-09,FALSE,0.75,unilad.co.uk,yhiltd.co.uk
FALSE,TRUE,FALSE,0.412751678,0.065590313,0.047598326,0.729644717,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.642857143,d2trophy.com,dicrophani.com
FALSE,TRUE,FALSE,0.6,0.6,0.043581773,0.6,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.714285714,blogtyrant.com,airtyrant.com
FALSE,TRUE,FALSE,0.6,0.457114026,0.040813518,0.6,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.727272727,dongee.com,dionneg.com
FALSE,TRUE,FALSE,0.6,0.6,0.073226387,0.6,TRUE,FALSE,0.7,FALSE,0.288198758,0.006354118,FALSE,0.666666667,hdcprojects.com,vipprojects.cn
FALSE,TRUE,FALSE,0.6,0.6,0.185295131,0.6,TRUE,FALSE,0.5,FALSE,0.288198758,0.006354118,FALSE,0.714285714,hqjm.cn,hhj3.cn
FALSE,TRUE,FALSE,0.6,0.6,0.049941493,0.6,TRUE,FALSE,0.5,FALSE,0.288198758,0.006354118,FALSE,0.6,artspy.cn,hryspap.cn
FALSE,TRUE,FALSE,0.6,0.6,0.090023306,0.6,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.571428571,iheartcats.com,iebar.t2t2.com
FALSE,TRUE,FALSE,0.6,0.6,0.192596049,0.6,FALSE,0,0.7,FALSE,0.034782609,0.020317233,FALSE,0.545454545,bulbul.su,bakuzbuq.ru
FALSE,TRUE,FALSE,0.6,0.6,0.059322372,0.6,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.777777778,osdir.com,ksdiy.com
FALSE,TRUE,FALSE,0.6,0.6,0.033890431,0.6,TRUE,FALSE,0.7,FALSE,0.028571429,0.002267771,FALSE,0.75,airindia.in,tourindia.in
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.037591453,0,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.846153846,psprices.com,appprices.com
FALSE,TRUE,FALSE,0.6,0.6,0.124229499,0.6,FALSE,0,0.7,FALSE,0.058385093,0.054196081,FALSE,0.5,lojabottero.net,ccjbox.ivyro.net
FALSE,TRUE,FALSE,0.6,0.6,0.048397262,0.6,TRUE,FALSE,0.5,FALSE,0.053416149,0.000783023,FALSE,0.625,googlesource.com,golfsource.us
FALSE,TRUE,FALSE,0.6,0.6,0.051151119,0.6,TRUE,FALSE,0.5,FALSE,0.01863354,0.042385402,FALSE,0.678571429,ellenmacarthurfoundation.org,greenculturefoundation.org
FALSE,TRUE,FALSE,0.6,0.6,0.049212987,0.6,FALSE,0,0.7,FALSE,0.01863354,0.042385402,FALSE,0.7,saving.org,gavih.org
FALSE,TRUE,FALSE,0.6,0.6,0.042285622,0.6,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.681818182,alohaorderonline.com,globalnursesonline.com
FALSE,TRUE,FALSE,0.6,0.6,0.047537958,0.6,FALSE,0,0.7,FALSE,0.007453416,0.004261779,FALSE,0.476190476,worldstream.nl,gsiworld.neostrada.pl
FALSE,TRUE,FALSE,0.6,0.6,0.039665796,0.6,FALSE,0,0.7,FALSE,0.01863354,0.042385402,FALSE,0.5,greenpeace.org,guyouellette.org
FALSE,TRUE,FALSE,0.6,0.072653885,0.054270356,0.821765585,FALSE,0,0.7,FALSE,0.093167702,0.016006425,FALSE,0.666666667,xinio.info,tinypic.info
FALSE,TRUE,FALSE,0.161073826,0.031281534,0.087187236,0.122601732,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.727272727,cdbaby.com,czbaoyu.com
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.065506778,0,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.5,transactiongateway.com,dawnsworld.mysticalgateway.com
FALSE,TRUE,FALSE,0.6,0.6,0.039027772,0.6,FALSE,0,0.7,FALSE,0.01863354,0.042385402,FALSE,0.692307692,ecoaldeas.org,dccallers.org
FALSE,TRUE,FALSE,0.6,0.6,0.296532986,0.6,TRUE,TRUE,0.7,FALSE,0.058385093,0.054196081,FALSE,0.666666667,100q.net,de007.net
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.037837104,0,TRUE,FALSE,0.3,FALSE,0.060869565,0.626499559,FALSE,0.777777778,hkcsl.com,hecs.com
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.041993177,0,TRUE,FALSE,0.5,FALSE,0.060869565,0.626499559,FALSE,0.705882353,pepperstone.com,perugemstones.com
FALSE,TRUE,FALSE,0.6,0.049445005,0.052713128,0.78538648,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.866666667,odownloader.com,dwnloader.com
FALSE,TRUE,FALSE,0.6,0.6,0.061390768,0.6,FALSE,0,0.7,FALSE,0.6,2.44E-09,FALSE,0.571428571,sums.ac.ir,jdsemnan.ac.ir
FALSE,TRUE,FALSE,0.6,0.6,0.14011253,0.6,TRUE,FALSE,0.7,FALSE,0.6,2.44E-09,FALSE,0.571428571,kaeia.or.kr,la21jeju.or.kr
FALSE,TRUE,FALSE,0.6,0.6,0.098584852,0.6,TRUE,FALSE,0.6,FALSE,0.6,2.44E-09,FALSE,0.565217391,laeuropea.com.mx,laextradeocotlan.com.mx
FALSE,TRUE,FALSE,0.6,0.6,0.146127023,0.6,FALSE,0,0.7,FALSE,0.002484472,0.026185958,FALSE,0.538461538,lotty.de,lagrotta4u.de
FALSE,TRUE,FALSE,0.6,0.6,0.040956516,0.6,TRUE,FALSE,0.5,FALSE,0.060869565,0.626499559,FALSE,0.75,hoteles.com,skottles.com
FALSE,TRUE,FALSE,0.6,0.6,0.059479099,0.122601732,FALSE,0,0.7,FALSE,0.6,2.44E-09,FALSE,0.6,opentable.co.uk,usb-turn-table.co.uk
FALSE,TRUE,FALSE,0.6,0.6,0.084012705,0.6,TRUE,TRUE,0.7,FALSE,0.007453416,0.004261779,FALSE,0.538461538,stacja7.pl,acusticjjw.pl
FALSE,TRUE,FALSE,0.6,0.6,0.189660794,0.6,TRUE,FALSE,0.7,FALSE,0.034782609,0.020317233,FALSE,0.571428571,alltime.ru,reltime2012.ru
FALSE,TRUE,FALSE,1.326621924,0.413723512,0.055955741,0.6,TRUE,FALSE,0.6,3.96,0.060869565,0.626499559,FALSE,0.65,testprepistanbul.com,cpi-istanbul.com
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.059773113,0,TRUE,TRUE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.705882353,creativeitem.com,creativitygap.com
FALSE,TRUE,FALSE,0.6,0.39556004,0.080840779,0.415891539,TRUE,TRUE,0.7,FALSE,0.058385093,0.054196081,FALSE,0.666666667,pizdos.net,pizzotti.net
FALSE,TRUE,FALSE,0.6,0.6,0.045693299,0.6,FALSE,0,0.7,FALSE,0.002484472,0.000867968,FALSE,0.583333333,hideout.co,ghidneamt.ro
FALSE,TRUE,FALSE,0.6,0.6,0.049719459,0.6,TRUE,FALSE,0.7,FALSE,0.053416149,0.000783023,FALSE,0.571428571,hh.uz,hp-h.us
FALSE,TRUE,FALSE,0.6,0.200807265,0.065308381,0.6,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.684210526,messenger.com,messenger.zango.com
FALSE,TRUE,FALSE,0.6,0.6,0.025751065,0.6,FALSE,0,0.7,FALSE,0.002484472,0.000867968,FALSE,0.642857143,molromania.ro,moaramariei.ro
FALSE,TRUE,FALSE,0.6,0.6,0.036912219,0.6,FALSE,0,0.7,FALSE,0.002484472,0.002613049,FALSE,0.571428571,carleton.ca,paul.cescon.ca
FALSE,TRUE,FALSE,0.6,0.4419778,0.0579821,0.534007116,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.75,eosauthority.com,theporkauthority.com
FALSE,TRUE,FALSE,0.6,0.6,0.057952606,0.6,TRUE,FALSE,0.7,FALSE,0.6,2.44E-09,FALSE,0.75,howapi.co.kr,dwdpi.co.kr
FALSE,TRUE,FALSE,0.6,0.524722503,0.059633784,0.6,TRUE,FALSE,0.7,FALSE,0.6,2.44E-09,FALSE,0.6875,bibleserver.com,fileserver.co.kr
FALSE,TRUE,FALSE,0.6,0.6,0.059899003,0.6,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.6,test-velocidad.com,festival.cocobau.com
FALSE,TRUE,FALSE,0.6,0.6,0.056161317,0.6,TRUE,FALSE,0.6,FALSE,0.060869565,0.626499559,FALSE,0.571428571,qtellhousehunter.com,lauglyhousebuyers.com
FALSE,TRUE,FALSE,0.6,0.6,0.057170125,0.122601732,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.666666667,todreammanifest.com,truckersemanifest.com
FALSE,TRUE,FALSE,0.6,0.16851665,0.160488634,0.6,FALSE,0,0.7,FALSE,0.058385093,0.054196081,FALSE,0.857142857,dal.net,0000mps.webpreview.dsl.net
FALSE,TRUE,FALSE,0.387024609,0.529767911,0.134041651,0.6,TRUE,FALSE,0.5,FALSE,0.060869565,0.626499559,FALSE,0.818181818,icliniq.com,izlinix.com
FALSE,TRUE,FALSE,0.6,0.3370333,0.075206888,0.6,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.56,thecardservicesonline.com,leonarderickson.chez.com
FALSE,TRUE,FALSE,0.412751678,0.065590313,0.041270925,0.729644717,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.75,onlinerti.com,onlinetribun.com
FALSE,TRUE,FALSE,0.6,0.6,0.061235892,0.6,FALSE,0,0.7,FALSE,0.6,2.44E-09,FALSE,0.619047619,saatvesaat.com.tr,ozarslaninsaat.com.tr
FALSE,TRUE,FALSE,0.6,0.6,0.033142043,0.6,FALSE,0,0.7,FALSE,0.004968944,0.007524932,FALSE,0.692307692,saltmines.nl,platamones.nl
FALSE,TRUE,FALSE,0.6,0.6,0.053618459,0.6,TRUE,TRUE,0.7,FALSE,0.002484472,0.026185958,FALSE,0.6,autobild.de,agroluftbild.de
FALSE,TRUE,FALSE,0.6,0.39556004,0.065045859,0.415891539,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.565217391,reflectionpress.com,coleccionperezsimon.com
FALSE,TRUE,FALSE,0.6,0.6,0.057561507,0.6,FALSE,0,0.7,FALSE,0.01863354,0.042385402,FALSE,0.692307692,wikimedia.org,tfpcmedia.org
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.052934449,0,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,FALSE,0.785714286,seobetter.com,setjetters.com
FALSE,TRUE,FALSE,0.6,0.6,0.055689476,0.6,TRUE,FALSE,0.7,FALSE,0.6,2.44E-09,FALSE,0.6,safaricom.co.ke,shema.firstcom.co.kr
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.041137273,0,FALSE,0,0.7,FALSE,0.060869565,0.626499559,FALSE,0.545454545,steelseries.com,sinopengelleriasma.com
FALSE,TRUE,FALSE,0.6,0.6,0.054554442,0.6,TRUE,TRUE,0.7,FALSE,0.003726708,0.000579552,FALSE,0.666666667,adafruit.com,adfrut.cl
FALSE,TRUE,FALSE,0.6,0.6,0.032013089,0.6,TRUE,FALSE,0.7,FALSE,0.288198758,0.006354118,FALSE,0.7,yto.net.cn,stoneb.cn
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.074227164,0,TRUE,FALSE,0.6,FALSE,0.060869565,0.626499559,FALSE,0.75,zotac.com,zotasinc.com
