TLD ,REG_PRICE,RENEW_PRICE,TLD_POPULARITY
.club,10.99,11.99,18
.com,8.99,12.99,1
.in,7.99,9.99,10
.info,17.99,17.99,7
.life,3.99,36.99,31
.me,5.99,18.99,8
.net,8.99,14.99,2
.online,1.99,34.99,11
.org,7.99,12.99,4
.site,1.99,34.99,24
.store,2.99,59.99,29
.uk,9.99,9.99,30
Average,7.49,23.07333333,14.58333333
