TLD ,REG_PRICE,RENEW_PRICE
.cc,24.95,24.95
.club,0.99,12.95
.co,15.99,26.95
.com,6.99,15.99
.in,14.95,14.95
.info,13.95,16.99
.io,25.99,39.95
.life,34.99,34.99
.me,2.99,32.95
.net,10.99,16.99
.online,1.99,29.95
.org,13.95,15.99
.site,9.99,29.95
.store,2.99,49.95
.uk,11.95,11.95
Average,12.91,25.03
