TLD ,REG_PRICE,RENEW_PRICE
.cc,24.99,29.99
.club,14.99,18.99
.co,12.99,24.99
.com,11.99,17.99
.in,11.99,11.99
.info,11.99,15.99
.me,11.99,17.99
.net,12.99,18.99
.online,4.99,12.99
.org,8.99,17.99
.site,2.99,12.99
.store,9.99,34.99
Average,11.74,19.65666667
