TLD ,REG_PRICE,RENEW_PRICE,TLD_POPULARITY
.cc,20,20,15
.club,13,13,13
.co,30,30,3
.com,12,12,1
.in,12,12,8
.info,12,12,6
.life,40,40,22
.me,20,20,7
.net,12,12,2
.online,30,30,9
.org,12,12,4
.site,20,20,16
.store,50,50,20
.uk,12,12,21
Average,21.07142857,21.07142857,10.5
