TLD ,REG_PRICE,RENEW_PRICE
.cc,3.99,9.99
.club,1.59,10.99
.com,8.99,8.99
.in,6.89,6.89
.info,2.99,13.99
.life,2.91,23.99
.me,6.99,16.99
.net,11.79,11.79
.online,1.99,26.99
.org,10.79,10.79
.site,1.99,23.99
.store,4.99,43.99
Average,5.491666667,17.44833333
