TLD ,REG_PRICE,RENEW_PRICE
.club,9.95,15
.co,29.95,35
.com,12.95,17.99
.in,27,27
.info,12.95,17.99
.me,15,19.95
.net,12.95,17.99
.online,1.95,15
.org,12.95,17.99
.site,0.95,15
.store,6.99,35
Average,13.05363636,21.26454545
