TLD ,REG_PRICE,RENEW_PRICE,TLD_POPULARITY
.cc,10.99,60,19
.club,14.99,15.99,17
.co,10.99,29.99,3
.com,9.99,13.99,1
.info,3.99,14.99,7
.life,2.99,33.99,26
.me,2.99,19.99,8
.net,12.99,15.99,2
.online,5.99,29.99,10
.org,8.99,14.99,4
.site,4.99,24.99,22
.store,9.99,49.99,24
.uk,9.99,9.99,25
Average,8.451538462,25.76,12.92307692
