TLD ,REG_PRICE,RENEW_PRICE
.cc,19.95,19.95
.club,19.99,19.99
.co,32.5,32.5
.com,13.95,13.95
.in,21.95,21.95
.info,23,23
.life,39,39
.me,16.95,16.95
.net,18,18
.online,51.99,51.99
.org,14.75,14.75
.site,34.99,34.99
.uk,8.98,8.98
Average,24.30769231,24.30769231
