TLD ,REG_PRICE,RENEW_PRICE,TLD_POPULARITY
.cc,15.99,15.99,21
.club,17.99,17.99,18
.co,34.99,34.99,3
.com,17.99,17.99,1
.in,11.99,11.99,10
.info,23.99,23.99,7
.io,59.99,59.99,6
.life,41.99,41.99,32
.me,19.99,19.99,8
.net,19.99,19.99,2
.online,49.99,49.99,11
.org,20.99,20.99,4
.site,39.99,39.99,24
.uk,11.99,11.99,31
Average,27.70428571,27.70428571,12.71428571
