alexatop,malware_domain,phishtank,domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,isBogon,ttlRisk,spamhausreg,SpamhausTld,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,DomainName
FALSE,TRUE,FALSE,0.6,0.049445005,0.052713128,0.21461352,FALSE,0,0.7,,0.060869565,FALSE,0.866666667,odownloader.com,dwnloader.com
FALSE,TRUE,FALSE,0.6,0.6,0.061390768,0.6,FALSE,0,0.7,,0.6,FALSE,0.857142857,semnan.ac.ir,jdsemnan.ac.ir
FALSE,TRUE,FALSE,0.6,0.6,0.14011253,0.6,TRUE,FALSE,0.7,,0.6,FALSE,0.571428571,kaeia.or.kr,la21jeju.or.kr
FALSE,TRUE,FALSE,0.6,0.6,0.098584852,0.6,TRUE,FALSE,0.6,,0.6,FALSE,0.565217391,maestrodecocina.com,laextradeocotlan.com.mx
FALSE,TRUE,FALSE,0.6,0.6,0.146127023,0.6,FALSE,0,0.7,,0.002484472,FALSE,0.538461538,geo-tag.de,lagrotta4u.de
FALSE,TRUE,FALSE,0.6,0.6,0.040956516,0.6,TRUE,TRUE,0.7,,0.060869565,FALSE,0.769230769,mrbottles.com,skottles.com
FALSE,TRUE,FALSE,0.6,0.6,0.059479099,0.877398268,FALSE,0,0.7,,0.6,FALSE,0.6,usb-cable.com.ua,usb-turn-table.co.uk
FALSE,TRUE,FALSE,0.6,0.6,0.084012705,0.6,TRUE,FALSE,0.7,,0.007453416,FALSE,0.538461538,acostic.ir,acusticjjw.pl
FALSE,TRUE,FALSE,0.6,0.6,0.189660794,0.6,TRUE,FALSE,0.7,,0.034782609,FALSE,0.714285714,rezume2016.ru,reltime2012.ru
FALSE,TRUE,FALSE,1.326621924,0.413723512,0.055955741,0.6,FALSE,0,0.7,3.96,0.060869565,FALSE,0.8125,npistanbul.com,cpi-istanbul.com
FALSE,TRUE,FALSE,0.097315436,0.272452069,0.059773113,1,TRUE,FALSE,0.7,,0.060869565,FALSE,0.882352941,creativitybay.com,creativitygap.com
FALSE,TRUE,FALSE,0.6,0.39556004,0.080840779,0.584108461,TRUE,FALSE,0.7,,0.058385093,FALSE,0.666666667,pingoat.net,pizzotti.net
FALSE,TRUE,FALSE,0.6,0.6,0.045693299,0.6,FALSE,0,0.7,,0.002484472,FALSE,0.583333333,gidan.ro,ghidneamt.ro
FALSE,TRUE,FALSE,0.6,0.6,0.049719459,0.6,TRUE,FALSE,0.5,,0.053416149,FALSE,0.571428571,htps.us,hp-h.us
FALSE,TRUE,FALSE,0.6,0.200807265,0.065308381,0.6,FALSE,0,0.7,,0.060869565,FALSE,0,TRUE,messenger.zango.com
