malware_domain,phishtank,alexatop,domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,isBogon,ttlRisk,spamhausreg,SpamhausTld,domain_age,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,DomainName
false,false,false,0.09731543624161074,0.272452068617558,0.04630459751375729,1,true,false,0.6,,0.05838509316770185,0.023376623376623374,false,0.625,localbillboards.net,schoolbulletinboards.net
false,false,false,0.09731543624161074,0.272452068617558,0.5499092241335644,1,true,false,0.3,,0.0608695652173913,0.023376623376623374,false,0.875,2898.com,1898.com
false,false,false,0.6,0.16851664984863773,0.0632718165298308,0.6,true,false,0.6,,0.0608695652173913,0.023376623376623374,false,0.782608695652174,gentechscientific.com,www.microtechscientific.com
false,false,false,0.6,0.6,0.07451050955835738,0.6,true,false,0.5,,0.6,0.03896103896103896,false,0.7222222222222222,sunwayblinds.co.uk,www.makemyblinds.co.uk
false,false,false,0.6,0.33198789101917253,0.03037362328926654,0.6,true,false,0.5,,0.05838509316770185,0.4675324675324675,false,0.8,streamhappy.net,streamtape.net
false,false,false,0.6,0.6,0.11814433379051861,0.6,true,false,0.6,,0.6,0.023376623376623374,false,0.6,gzdjnsw.cn,www.jzcj.sh.cn
false,false,false,0.09731543624161074,0.272452068617558,0.056670588852072476,1,true,false,0.3,,0.018633540372670804,0.935064935064935,false,0.6666666666666666,singaporeconnect.org,www.storycorpsconnect.org
false,false,false,1.3266219239373602,0.41372351160444,0.05005891353214082,0.6,true,false,0.6,3.96,0.0608695652173913,0.023376623376623374,false,0.8461538461538461,imasushi.com,komasushi.com
false,false,false,0.1610738255033557,0.03128153380423814,0.06422525903388324,0.8773982684284121,true,false,0.7,,0.018633540372670804,0.023376623376623374,false,0.6470588235294118,kalkanvilla.org,www.baldwinsville.org
false,false,false,0.3098434004474273,0.06659939455095863,0.05187354031978296,0.6,true,false,0.3,,0.018633540372670804,0.023376623376623374,false,0.6842105263157895,redbucketrescue.org,www.ggbassetrescue.org
false,false,false,0.6,0.6,0.050860322817433926,0.6,true,false,0.5,,0.0608695652173913,0.023376623376623374,false,0.7368421052631579,oceanairtravels.com,londonairtravel.com
false,false,false,0.6,0.437941473259334,0.19784354279057714,0.6,true,false,0.7,,0.0608695652173913,0.03636363636363637,false,0.8125,lxmfestival.com,qixifestival.com
false,false,false,0.6,0.6,0.4717567284939069,0.6,true,false,0.3,,0.05838509316770185,1,false,0.6363636363636364,3030l.net,imp.i308314.net
false,false,false,0.6,0.16649848637739656,0.06044676582793993,0.19822444528926278,true,false,0.5,,0.0608695652173913,0.023376623376623374,false,0,true,servikus.com
false,false,false,0.6,0.4571140262361251,0.1081477615172065,0.6,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.7692307692307693,fastnext.com,fastfixtn.com
false,false,false,0.6,0.16851664984863773,0.048966638223486104,0.6,true,false,0.7,,0.018633540372670804,0.28571428571428575,false,0.7142857142857143,sralab.org,www.surreallab.org
false,false,false,0.6,0.3158425832492432,0.08344403607414652,0.6,true,false,0.6,,0.018633540372670804,0.023376623376623374,false,0.9230769230769231,khaarazmi.org,kharazmi.org
false,false,false,0.6,0.6,0.04131802828400382,0.6,true,false,0.6,,0.05838509316770185,0.03636363636363637,false,0,true,blog.footballia.net
false,false,false,0.6,0.6,0.10488692288109201,0.6,true,false,0.6,,0.0608695652173913,0.04415584415584416,false,0.75,shshsj.com,moor.shzhszpj.com
false,false,false,0.09731543624161074,0.272452068617558,0.06167476240651692,1,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.72,businessandpleasureco.com,www.businessandleadership.com
false,false,false,0.1610738255033557,0.03128153380423814,0.056158187636080326,0.8773982684284121,true,false,0.5,,0.018633540372670804,0.023376623376623374,false,0.8888888888888888,rasch.org,www.basch.org
false,false,false,0.6,0.04944500504540868,0.057107189959806105,0.21461352038590423,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.7368421052631579,sheapeterson.com,www.rachelpetterson.com
false,false,false,0.6,0.6,0.057095714847227946,0.6,true,false,0.7,,0.026086956521739126,0.05194805194805195,false,0.7272727272727273,sxn.today,sofun.today
false,false,false,0.09731543624161074,0.272452068617558,0.038340237633457536,1,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.75,colliderporn.com,collierpets.com
