Domain_score,DomainToolRegistrars,knujon,DomainNameEntropy,registrar_prices,ttlRisk,spamhausTld,domain_age,AlexaLevSim,Label
6.333333333,0.6,0.6,0.085721917,0.6,0.7,0.313043478,0.5,0.529411765,maleware
5.777777778,0.6,0.6,0.044780858,0.6,0.7,0.060869565,0.5,0.652173913,maleware
6.222222222,0.6,0.6,0.251968522,0.6,0.7,0.033540373,0.5,0.636363636,maleware
6.333333333,0.6,0.6,0.052070117,0.6,0.7,0.6,0.5,0.666666667,maleware
5.444444444,0.6,0.6,0.06672094,0.6,0.7,0.01863354,0.5,0.4,maleware
7,0.6,0.6,0.391923075,0.6,0.7,0.6,0.5,0.727272727,maleware
5.555555556,0.161073826,0.031281534,0.054713546,0.122601732,0.7,0.060869565,0.5,0.565217391,maleware
5.888888889,0.6,0.6,0.044214347,0.6,0.7,0.060869565,0.5,0.727272727,maleware
5.888888889,0.6,0.6,0.059933027,0.6,0.7,0.058385093,0.5,0.65,maleware
6.555555556,0.6,0.6,0.076506832,0.6,0.7,0.6,0.5,0.65,maleware
6.333333333,0.6,0.6,0.089282205,0.6,0.7,0.6,0.5,0.518518519,maleware
6.333333333,0.6,0.6,0.061677446,0.6,0.6,0.6,0.5,0.75,maleware
5.333333333,0.412751678,0.065590313,0.047598326,0.729644717,0.7,0.060869565,0.5,0.642857143,maleware
5.888888889,0.6,0.6,0.043581773,0.6,0.7,0.060869565,0.5,0.714285714,maleware
5.777777778,0.6,0.457114026,0.040813518,0.6,0.7,0.060869565,0.5,0.727272727,maleware
6.222222222,0.6,0.6,0.073226387,0.6,0.7,0.288198758,0.5,0.666666667,maleware
6.444444444,0.6,0.6,0.185295131,0.6,0.6,0.288198758,0.5,0.714285714,maleware
5.888888889,0.6,0.6,0.049941493,0.6,0.6,0.288198758,0.5,0.6,maleware
5.888888889,0.6,0.6,0.090023306,0.6,0.7,0.060869565,0.5,0.571428571,maleware
6,0.6,0.6,0.192596049,0.6,0.7,0.034782609,0.5,0.545454545,maleware
5.888888889,0.6,0.6,0.059322372,0.6,0.7,0.060869565,0.5,0.777777778,maleware
5.555555556,0.6,0.6,0.033890431,0.6,0.7,0.028571429,0.5,0.75,maleware
6.555555556,0.097315436,0.272452069,0.037591453,0,0.7,0.060869565,0.5,0.846153846,maleware
5.888888889,0.6,0.6,0.124229499,0.6,0.7,0.058385093,0.5,0.5,maleware
5.777777778,0.6,0.6,0.048397262,0.6,0.7,0.053416149,0.5,0.625,maleware
5.333333333,0.6,0.6,0.051151119,0.6,0.6,0.01863354,0.5,0.678571429,maleware
5.666666667,0.6,0.6,0.049212987,0.6,0.7,0.01863354,0.5,0.7,maleware
5.777777778,0.6,0.6,0.042285622,0.6,0.7,0.060869565,0.5,0.681818182,maleware
5.222222222,0.6,0.6,0.047537958,0.6,0.7,0.007453416,0.5,0.476190476,maleware
5.444444444,0.6,0.6,0.039665796,0.6,0.7,0.01863354,0.5,0.5,maleware
6.333333333,0.6,0.072653885,0.054270356,0.821765585,0.7,0.093167702,0.5,1,maleware
5.777777778,0.161073826,0.031281534,0.087187236,0.122601732,0.6,0.060869565,0.5,0.727272727,maleware
5.888888889,0.097315436,0.272452069,0.065506778,0,0.7,0.060869565,0.5,0.5,maleware
5.555555556,0.6,0.6,0.039027772,0.6,0.7,0.01863354,0.5,0.692307692,maleware
