tld,badness_percent,score
fishing,0.7,0.00
fit,14.3,1.18
fitness,0.5,0.01
fj,0.0,0.00
fk,0.0,0.00
flights,0.0,0.00
florist,0.0,0.00
flowers,1.7,0.00
fly,0.0,0.00
fm,0.4,0.00
fo,1.4,0.00
foo,0.0,0.00
foodnetwork,0.0,0.00
football,0.5,0.00
forex,0.0,0.00
forsale,0.3,0.00
forum,0.0,0.00
foundation,0.9,0.02
fox,0.0,0.00
fr,1.5,0.10
frl,0.0,0.00
frontdoor,0.0,0.00
fun,9.5,0.70
fund,1.9,0.06
furniture,0.0,0.00
futbol,3.3,0.08
fyi,1.8,0.06
ga,30.4,2.52
gal,0.0,0.00
gallery,0.4,0.00
game,0.0,0.00
games,0.4,0.01
garden,0.0,0.00
gd,0.0,0.00
gdn,18.4,0.96
ge,0.7,0.02
gent,0.0,0.00
genting,0.0,0.00
gf,0.0,0.00
gg,0.0,0.00
gh,1.0,0.00
gi,0.0,0.00
gift,1.0,0.01
gifts,2.2,0.03
gives,0.0,0.00
gl,0.0,0.00
glass,0.6,0.00
gle,0.0,0.00
global,1.2,0.04
globo,0.0,0.00
gm,0.0,0.00
gmbh,0.0,0.00
gmx,0.0,0.00
gn,0.0,0.00
gold,0.6,0.01
golf,25.1,1.33
goo,0.0,0.00
goog,0.0,0.00
google,0.0,0.00
gop,2.2,0.00
gov,0.0,0.00
gp,0.0,0.00
gq,38.6,3.18
gr,0.4,0.01
graphics,0.4,0.00
gratis,4.1,0.09
green,0.9,0.01
gripe,0.0,0.00
group,2.4,0.11
gs,0.0,0.00
gt,0.0,0.00
guide,0.1,0.00
guitars,1.9,0.00
guru,2.6,0.12
gw,0.0,0.00
gy,0.0,0.00
hamburg,0.0,0.00
haus,0.3,0.00
hdfc,0.0,0.00
health,0.5,0.00
healthcare,0.9,0.01
help,5.8,0.23
here,0.0,0.00
hiphop,0.0,0.00
hiv,0.0,0.00
hk,0.8,0.03
hm,0.0,0.00
hn,0.0,0.00
hockey,0.0,0.00
holdings,0.6,0.00
holiday,0.0,0.00
homes,0.0,0.00
horse,0.0,0.00
hospital,1.4,0.00
host,11.4,0.77
hosting,0.4,0.00
hotmail,0.0,0.00
house,0.7,0.02
how,0.8,0.00
hr,0.4,0.01
ht,0.0,0.00
hu,0.1,0.00
icu,10.9,0.94
id,2.5,0.14
ie,0.1,0.00
ifm,0.0,0.00
il,0.2,0.00
im,0.7,0.01
immo,2.4,0.06
immobilien,0.0,0.00
in,3.2,0.23
industries,0.0,0.00
info,8.3,0.75
ink,0.3,0.01
institute,3.4,0.11
insurance,0.0,0.00
insure,1.5,0.02
int,2.3,0.00
international,3.0,0.11
investments,0.7,0.00
io,0.3,0.01
ipiranga,0.0,0.00
iq,0.0,0.00
ir,3.9,0.26
irish,0.5,0.00
is,0.4,0.00
ist,1.1,0.01
istanbul,1.6,0.01
it,0.2,0.01
itau,0.0,0.00
itv,0.0,0.00
java,0.0,0.00
je,0.0,0.00
jetzt,0.0,0.00
jewelry,0.0,0.00
jio,0.0,0.00
jm,0.0,0.00
jo,1.9,0.01
jobs,0.0,0.00
joburg,0.0,0.00
jp,3.1,0.19
juegos,0.0,0.00
kaufen,0.0,0.00
ke,0.3,0.01
kerryhotels,0.0,0.00
kg,1.8,0.03
kh,1.9,0.01
ki,0.0,0.00
kim,7.0,0.24
kitchen,0.5,0.00
kiwi,0.0,0.00
km,0.0,0.00
kn,0.0,0.00
koeln,0.3,0.00
komatsu,0.0,0.00
kp,0.0,0.00
kr,0.7,0.03
krd,0.0,0.00
kred,0.0,0.00
kw,1.5,0.00
ky,0.9,0.00
kyoto,0.0,0.00
kz,0.2,0.00
la,0.2,0.00
lamborghini,0.0,0.00
land,0.4,0.00
lat,0.0,0.00
law,0.0,0.00
lawyer,0.8,0.01
lb,0.0,0.00
lc,2.4,0.00
lease,4.4,0.06
leclerc,0.0,0.00
lefrak,0.0,0.00
legal,0.2,0.00
lgbt,0.0,0.00
li,0.6,0.01
lidl,0.0,0.00
life,21.6,1.85
lifestyle,0.0,0.00
lighting,0.0,0.00
limited,3.2,0.06
limo,1.6,0.00
link,1.2,0.07
live,30.0,2.34
living,0.0,0.00
lk,1.1,0.03
llc,0.0,0.00
loan,58.2,3.34
loans,1.4,0.02
locus,0.0,0.00
lol,0.5,0.00
london,37.8,2.75
love,1.8,0.06
lr,0.0,0.00
ls,2.6,0.00
lt,0.1,0.00
ltd,1.4,0.07
ltda,0.0,0.00
lu,0.2,0.00
lundbeck,0.0,0.00
lupin,0.0,0.00
luxe,0.0,0.00
luxury,0.0,0.00
lv,0.4,0.01
ly,0.5,0.00
ma,0.6,0.01
madrid,0.0,0.00
maison,0.0,0.00
man,0.0,0.00
management,2.3,0.05
market,0.8,0.02
marketing,1.2,0.04
markets,4.2,0.00
mattel,0.0,0.00
mba,0.7,0.00
mc,0.0,0.00
md,0.2,0.00
me,6.9,0.50
media,0.7,0.02
meet,0.0,0.00
melbourne,1.5,0.00
memorial,0.0,0.00
men,9.0,0.38
menu,1.3,0.01
mg,0.0,0.00
mh,0.0,0.00
miami,1.1,0.02
microsoft,0.0,0.00
mil,0.0,0.00
mini,0.0,0.00
mk,0.5,0.01
ml,32.2,2.71
mm,0.0,0.00
mn,1.5,0.03
mo,0.0,0.00
mobi,5.0,0.27
moda,1.2,0.01
moe,1.1,0.02
moi,0.0,0.00
mom,0.8,0.00
money,0.7,0.01
monster,6.6,0.39
mortgage,0.0,0.00
moscow,0.2,0.00
motorcycles,0.0,0.00
movie,0.0,0.00
mp,0.0,0.00
mq,0.0,0.00
mr,0.0,0.00
ms,2.8,0.03
msd,0.0,0.00
mt,0.5,0.00
mu,0.5,0.00
museum,0.0,0.00
